"dpid","EmriPartise","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve","koalicionet"
"660","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-11","2188","2221","161","68","7",""
"661","nismaperkosoven.official","2017-05-11","214","215","1","28","2",""
"662","PDKqender","2017-05-11","540","541","8","6","2",""
"663","vetevendosje","2017-05-11","2280","2302","64","67","3",""
"664","drejtesiaofficial","2017-05-11","0","0","0","0","0",""
"665","Aleanca.Official","2017-05-10","1213","1221","16","12","2",""
"666","aleancakosovaere","2017-05-10","879","885","31","17","3",""
"667","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-10","3032","3084","146","73","6",""
"668","nismaperkosoven.official","2017-05-10","1122","1142","56","69","7",""
"669","PDKqender","2017-05-10","337","342","28","0","1",""
"670","vetevendosje","2017-05-10","13170","13661","1659","1221","3",""
"671","drejtesiaofficial","2017-05-10","0","0","0","0","0",""
"672","AlternativaKosova","2017-05-10","0","0","0","0","0",""
"673","aleancakosovaere","2017-05-09","287","287","4","0","1",""
"674","AlternativaKosova","2017-05-09","423","426","6","30","2",""
"675","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-09","702","709","15","34","5",""
"676","nismaperkosoven.official","2017-05-09","131","132","0","0","2",""
"677","PDKqender","2017-05-09","780","789","33","12","2",""
"678","vetevendosje","2017-05-09","741","747","17","37","1",""
"679","drejtesiaofficial","2017-05-09","0","0","0","0","0",""
"680","Aleanca.Official","2017-05-09","0","0","0","0","0",""
"681","Aleanca.Official","2017-05-08","558","560","7","28","1",""
"682","aleancakosovaere","2017-05-08","652","654","11","2","5",""
"683","drejtesiaofficial","2017-05-08","31","31","1","0","1",""
"684","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-08","858","864","13","33","9",""
"685","PDKqender","2017-05-08","392","395","9","6","1",""
"686","vetevendosje","2017-05-08","3585","3737","857","383","3",""
"687","AlternativaKosova","2017-05-08","0","0","0","0","0",""
"688","nismaperkosoven.official","2017-05-08","0","0","0","0","0",""
"689","aleancakosovaere","2017-05-07","360","362","0","10","3",""
"690","drejtesiaofficial","2017-05-07","39","39","0","6","1",""
"691","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-07","1656","1661","13","33","6",""
"692","vetevendosje","2017-05-07","2062","2330","674","461","2",""
"693","AlternativaKosova","2017-05-07","0","0","0","0","0",""
"694","Aleanca.Official","2017-05-07","0","0","0","0","0",""
"695","PDKqender","2017-05-07","0","0","0","0","0",""
"696","nismaperkosoven.official","2017-05-07","0","0","0","0","0",""
"697","aleancakosovaere","2017-05-06","290","293","16","21","1",""
"698","AlternativaKosova","2017-05-06","247","247","9","3","1",""
"699","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-06","874","878","4","18","5",""
"700","nismaperkosoven.official","2017-05-06","33","33","0","6","1",""
"701","drejtesiaofficial","2017-05-06","0","0","0","0","0",""
"702","Aleanca.Official","2017-05-06","0","0","0","0","0",""
"703","vetevendosje","2017-05-06","0","0","0","0","0",""
"704","PDKqender","2017-05-06","0","0","0","0","0",""
"705","Aleanca.Official","2017-05-05","1193","1198","4","34","3",""
"706","aleancakosovaere","2017-05-05","985","991","12","9","5",""
"707","drejtesiaofficial","2017-05-05","63","65","1","4","3",""
"708","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-05","1289","1297","7","26","10",""
"709","nismaperkosoven.official","2017-05-05","489","492","10","46","8",""
"710","PDKqender","2017-05-05","142","142","0","2","1",""
"711","vetevendosje","2017-05-05","5207","5607","768","468","3",""
"712","AlternativaKosova","2017-05-05","0","0","0","0","0",""
"713","Aleanca.Official","2017-05-04","739","743","5","36","1",""
"714","aleancakosovaere","2017-05-04","390","399","15","9","4",""
"715","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-04","627","631","4","17","6",""
"716","nismaperkosoven.official","2017-05-04","165","166","2","6","5",""
"717","PDKqender","2017-05-04","106","106","1","0","2",""
"718","vetevendosje","2017-05-04","1354","1358","17","54","3",""
"719","drejtesiaofficial","2017-05-04","0","0","0","0","0",""
"720","AlternativaKosova","2017-05-04","0","0","0","0","0",""
"721","Aleanca.Official","2017-05-03","1044","1052","17","73","1",""
"722","aleancakosovaere","2017-05-03","651","660","4","10","4",""
"723","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-03","1810","1822","10","13","8",""
"724","nismaperkosoven.official","2017-05-03","29","29","0","12","1",""
"725","vetevendosje","2017-05-03","360","363","2","14","1",""
"726","drejtesiaofficial","2017-05-03","0","0","0","0","0",""
"727","AlternativaKosova","2017-05-03","0","0","0","0","0",""
"728","PDKqender","2017-05-03","0","0","0","0","0",""
"729","Aleanca.Official","2017-05-02","339","339","6","35","2",""
"730","aleancakosovaere","2017-05-02","103","103","12","0","1",""
"731","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-02","2335","2354","32","38","4",""
"732","nismaperkosoven.official","2017-05-02","66","66","1","1","1",""
"733","vetevendosje","2017-05-02","1112","1116","34","77","2",""
"734","drejtesiaofficial","2017-05-02","0","0","0","0","0",""
"735","AlternativaKosova","2017-05-02","0","0","0","0","0",""
"736","PDKqender","2017-05-02","0","0","0","0","0",""
"737","Aleanca.Official","2017-05-01","43","43","0","6","1",""
"738","AlternativaKosova","2017-05-01","103","103","3","0","1",""
"739","PDKqender","2017-05-01","133","133","1","0","1",""
"740","vetevendosje","2017-05-01","1570","1608","155","150","2",""
"741","drejtesiaofficial","2017-05-01","0","0","0","0","0",""
"742","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-01","0","0","0","0","0",""
"743","aleancakosovaere","2017-05-01","0","0","0","0","0",""
"744","nismaperkosoven.official","2017-05-01","0","0","0","0","0",""
"993","drejtesiaofficial","2014-07-06","0","0","0","0","0",""
"994","AlternativaKosova","2014-07-06","0","0","0","0","0",""
"995","LidhjaDemokratikeeKosovesOFFICIAL","2014-07-06","0","0","0","0","0",""
"996","Aleanca.Official","2014-07-06","0","0","0","0","0",""
"997","aleancakosovaere","2014-07-06","0","0","0","0","0",""
"998","vetevendosje","2014-07-06","0","0","0","0","0",""
"999","PDKqender","2014-07-06","0","0","0","0","0",""
"1000","nismaperkosoven.official","2014-07-06","0","0","0","0","0",""
"1001","vetevendosje","2014-07-05","1500","0","31","132","2",""
"1002","drejtesiaofficial","2014-07-05","0","0","0","0","0",""
"1003","AlternativaKosova","2014-07-05","0","0","0","0","0",""
"1004","LidhjaDemokratikeeKosovesOFFICIAL","2014-07-05","0","0","0","0","0",""
"1005","Aleanca.Official","2014-07-05","0","0","0","0","0",""
"1006","aleancakosovaere","2014-07-05","0","0","0","0","0",""
"1007","PDKqender","2014-07-05","0","0","0","0","0",""
"1008","nismaperkosoven.official","2014-07-05","0","0","0","0","0",""
"1009","aleancakosovaere","2014-07-04","43","0","0","2","1",""
"1010","drejtesiaofficial","2014-07-04","198","0","3","19","6",""
"1011","PDKqender","2014-07-04","110","0","2","0","1",""
"1012","AlternativaKosova","2014-07-04","0","0","0","0","0",""
"1013","LidhjaDemokratikeeKosovesOFFICIAL","2014-07-04","0","0","0","0","0",""
"1014","Aleanca.Official","2014-07-04","0","0","0","0","0",""
"1015","vetevendosje","2014-07-04","0","0","0","0","0",""
"1016","nismaperkosoven.official","2014-07-04","0","0","0","0","0",""
"1017","PDKqender","2014-07-03","1191","0","18","24","3",""
"1018","drejtesiaofficial","2014-07-03","0","0","0","0","0",""
"1019","AlternativaKosova","2014-07-03","0","0","0","0","0",""
"1020","LidhjaDemokratikeeKosovesOFFICIAL","2014-07-03","0","0","0","0","0",""
"1021","Aleanca.Official","2014-07-03","0","0","0","0","0",""
"1022","aleancakosovaere","2014-07-03","0","0","0","0","0",""
"1023","vetevendosje","2014-07-03","0","0","0","0","0",""
"1024","nismaperkosoven.official","2014-07-03","0","0","0","0","0",""
"1025","Aleanca.Official","2014-07-02","64","0","0","0","1",""
"1026","PDKqender","2014-07-02","233","0","14","9","1",""
"1027","vetevendosje","2014-07-02","1077","0","2","62","4",""
"1028","drejtesiaofficial","2014-07-02","0","0","0","0","0",""
"1029","AlternativaKosova","2014-07-02","0","0","0","0","0",""
"1030","LidhjaDemokratikeeKosovesOFFICIAL","2014-07-02","0","0","0","0","0",""
"1031","aleancakosovaere","2014-07-02","0","0","0","0","0",""
"1032","nismaperkosoven.official","2014-07-02","0","0","0","0","0",""
"1033","drejtesiaofficial","2014-07-01","42","0","0","2","1",""
"1034","PDKqender","2014-07-01","602","0","23","17","2",""
"1035","vetevendosje","2014-07-01","1135","0","28","51","3",""
"1036","AlternativaKosova","2014-07-01","0","0","0","0","0",""
"1037","LidhjaDemokratikeeKosovesOFFICIAL","2014-07-01","0","0","0","0","0",""
"1038","Aleanca.Official","2014-07-01","0","0","0","0","0",""
"1039","aleancakosovaere","2014-07-01","0","0","0","0","0",""
"1040","nismaperkosoven.official","2014-07-01","0","0","0","0","0",""
"1041","Aleanca.Official","2014-06-30","42","0","1","0","1",""
"1042","drejtesiaofficial","2014-06-30","36","0","0","4","1",""
"1043","vetevendosje","2014-06-30","1559","0","54","96","3",""
"1044","AlternativaKosova","2014-06-30","0","0","0","0","0",""
"1045","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-30","0","0","0","0","0",""
"1046","aleancakosovaere","2014-06-30","0","0","0","0","0",""
"1047","PDKqender","2014-06-30","0","0","0","0","0",""
"1048","nismaperkosoven.official","2014-06-30","0","0","0","0","0",""
"1049","drejtesiaofficial","2014-06-29","0","0","0","0","0",""
"1050","AlternativaKosova","2014-06-29","0","0","0","0","0",""
"1051","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-29","0","0","0","0","0",""
"1052","Aleanca.Official","2014-06-29","0","0","0","0","0",""
"1053","aleancakosovaere","2014-06-29","0","0","0","0","0",""
"1054","vetevendosje","2014-06-29","0","0","0","0","0",""
"1055","PDKqender","2014-06-29","0","0","0","0","0",""
"1056","nismaperkosoven.official","2014-06-29","0","0","0","0","0",""
"1057","vetevendosje","2014-06-28","1175","0","32","122","2",""
"1058","drejtesiaofficial","2014-06-28","0","0","0","0","0",""
"1059","AlternativaKosova","2014-06-28","0","0","0","0","0",""
"1060","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-28","0","0","0","0","0",""
"1061","Aleanca.Official","2014-06-28","0","0","0","0","0",""
"1062","aleancakosovaere","2014-06-28","0","0","0","0","0",""
"1063","PDKqender","2014-06-28","0","0","0","0","0",""
"1064","nismaperkosoven.official","2014-06-28","0","0","0","0","0",""
"1065","aleancakosovaere","2014-06-27","122","0","1","4","1",""
"1066","drejtesiaofficial","2014-06-27","337","0","4","5","2",""
"1067","nismaperkosoven.official","2014-06-27","186","0","0","11","1",""
"1068","vetevendosje","2014-06-27","674","0","10","24","3",""
"1069","AlternativaKosova","2014-06-27","0","0","0","0","0",""
"1070","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-27","0","0","0","0","0",""
"1071","Aleanca.Official","2014-06-27","0","0","0","0","0",""
"1072","PDKqender","2014-06-27","0","0","0","0","0",""
"1073","nismaperkosoven.official","2014-06-26","251","0","0","5","2",""
"1074","vetevendosje","2014-06-26","914","0","17","18","2",""
"1075","drejtesiaofficial","2014-06-26","0","0","0","0","0",""
"1076","AlternativaKosova","2014-06-26","0","0","0","0","0",""
"1077","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-26","0","0","0","0","0",""
"1078","Aleanca.Official","2014-06-26","0","0","0","0","0",""
"1079","aleancakosovaere","2014-06-26","0","0","0","0","0",""
"1080","PDKqender","2014-06-26","0","0","0","0","0",""
"1081","vetevendosje","2014-06-25","348","0","15","31","1",""
"1082","drejtesiaofficial","2014-06-25","0","0","0","0","0",""
"1083","AlternativaKosova","2014-06-25","0","0","0","0","0",""
"1084","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-25","0","0","0","0","0",""
"1085","Aleanca.Official","2014-06-25","0","0","0","0","0",""
"1086","aleancakosovaere","2014-06-25","0","0","0","0","0",""
"1087","PDKqender","2014-06-25","0","0","0","0","0",""
"1088","nismaperkosoven.official","2014-06-25","0","0","0","0","0",""
"1089","aleancakosovaere","2014-06-24","31","0","2","6","1",""
"1090","drejtesiaofficial","2014-06-24","109","0","1","3","2",""
"1091","nismaperkosoven.official","2014-06-24","137","0","0","9","1",""
"1092","PDKqender","2014-06-24","806","0","1","4","3",""
"1093","AlternativaKosova","2014-06-24","0","0","0","0","0",""
"1094","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-24","0","0","0","0","0",""
"1095","Aleanca.Official","2014-06-24","0","0","0","0","0",""
"1096","vetevendosje","2014-06-24","0","0","0","0","0",""
"1097","Aleanca.Official","2014-06-23","356","0","1","2","2",""
"1098","nismaperkosoven.official","2014-06-23","366","0","3","13","2",""
"1099","vetevendosje","2014-06-23","1591","0","20","63","4",""
"1100","drejtesiaofficial","2014-06-23","0","0","0","0","0",""
"1101","AlternativaKosova","2014-06-23","0","0","0","0","0",""
"1102","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-23","0","0","0","0","0",""
"1103","aleancakosovaere","2014-06-23","0","0","0","0","0",""
"1104","PDKqender","2014-06-23","0","0","0","0","0",""
"1105","Aleanca.Official","2014-06-22","128","0","4","5","1",""
"1106","drejtesiaofficial","2014-06-22","0","0","0","0","0",""
"1107","AlternativaKosova","2014-06-22","0","0","0","0","0",""
"1108","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-22","0","0","0","0","0",""
"1109","aleancakosovaere","2014-06-22","0","0","0","0","0",""
"1110","vetevendosje","2014-06-22","0","0","0","0","0",""
"1111","PDKqender","2014-06-22","0","0","0","0","0",""
"1112","nismaperkosoven.official","2014-06-22","0","0","0","0","0",""
"1113","vetevendosje","2014-06-21","296","0","9","16","1",""
"1114","drejtesiaofficial","2014-06-21","0","0","0","0","0",""
"1115","AlternativaKosova","2014-06-21","0","0","0","0","0",""
"1116","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-21","0","0","0","0","0",""
"1117","Aleanca.Official","2014-06-21","0","0","0","0","0",""
"1118","aleancakosovaere","2014-06-21","0","0","0","0","0",""
"1119","PDKqender","2014-06-21","0","0","0","0","0",""
"1120","nismaperkosoven.official","2014-06-21","0","0","0","0","0",""
"1121","aleancakosovaere","2014-06-20","53","0","1","1","1",""
"1122","PDKqender","2014-06-20","168","0","0","0","1",""
"1123","vetevendosje","2014-06-20","1637","0","36","52","3",""
"1124","drejtesiaofficial","2014-06-20","0","0","0","0","0",""
"1125","AlternativaKosova","2014-06-20","0","0","0","0","0",""
"1126","LidhjaDemokratikeeKosovesOFFICIAL","2014-06-20","0","0","0","0","0",""
"1127","Aleanca.Official","2014-06-20","0","0","0","0","0",""
"1128","nismaperkosoven.official","2014-06-20","0","0","0","0","0",""
"1129","nismaperkosoven.official","2014-06-19","162","0","10","9","1",""
"1130","vetevendosje","2014-06-19","669","0","25","65","1",""
"1131","drejtesiaofficial","2014-06-19","0","0","0","0","0",""
"1132","AlternativaKosova","2014-06-19","0","0","0","0","0",""
