"drkid","EmriKoalicionit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"670","LDK-AKR-ALT","2017-10-10","1164","1167","20","36","7"
"671","PDK-AAK-NISMA","2017-10-10","1270","1276","22","22","11"
"672","VV","2017-10-10","4313","4543","439","211","7"
"673","LDK-AKR-ALT","2017-10-09","1287","1299","43","17","13"
"674","PDK-AAK-NISMA","2017-10-09","2680","2693","26","37","10"
"675","VV","2017-10-09","2560","2678","253","90","7"
"676","LDK-AKR-ALT","2017-10-08","874","878","19","22","8"
"677","PDK-AAK-NISMA","2017-10-08","3611","3670","304","148","10"
"678","VV","2017-10-08","4030","4410","607","397","5"
"679","LDK-AKR-ALT","2017-10-07","1007","1012","15","108","9"
"680","PDK-AAK-NISMA","2017-10-07","4008","4019","64","50","10"
"681","VV","2017-10-07","1985","2433","1136","166","4"
"682","LDK-AKR-ALT","2017-10-06","1402","1418","44","85","16"
"683","PDK-AAK-NISMA","2017-10-06","5954","6010","74","442","13"
"684","VV","2017-10-06","2460","2687","330","154","5"
"685","LDK-AKR-ALT","2017-10-05","1112","1119","36","157","10"
"686","PDK-AAK-NISMA","2017-10-05","2361","2375","22","54","6"
"687","VV","2017-10-05","2355","2514","347","160","5"
"688","LDK-AKR-ALT","2017-10-04","1212","1218","23","44","14"
"689","PDK-AAK-NISMA","2017-10-04","1605","1607","7","10","8"
"690","VV","2017-10-04","4259","4488","517","105","5"
"691","LDK-AKR-ALT","2017-10-03","1966","1979","36","102","14"
"692","PDK-AAK-NISMA","2017-10-03","3117","3138","60","296","10"
"693","VV","2017-10-03","4940","5144","323","257","5"
"694","LDK-AKR-ALT","2017-10-02","1275","1290","22","46","15"
"695","PDK-AAK-NISMA","2017-10-02","2281","2296","41","99","13"
"696","VV","2017-10-02","5069","5434","785","249","5"
"697","LDK-AKR-ALT","2017-10-01","631","635","89","24","9"
"698","PDK-AAK-NISMA","2017-10-01","3391","3412","33","59","12"
"699","VV","2017-10-01","4935","5445","1071","230","6"
"700","LDK-AKR-ALT","2017-09-30","1346","1355","38","18","7"
"701","PDK-AAK-NISMA","2017-09-30","3280","3291","34","90","14"
"702","VV","2017-09-30","4879","5383","1114","207","6"
"703","LDK-AKR-ALT","2017-09-29","1961","2033","117","75","12"
"704","PDK-AAK-NISMA","2017-09-29","2264","2274","72","61","10"
"705","VV","2017-09-29","10311","11047","1768","340","7"
"706","LDK-AKR-ALT","2017-09-28","1856","1880","99","43","20"
"707","PDK-AAK-NISMA","2017-09-28","1179","1183","23","29","9"
"708","VV","2017-09-28","4256","4713","1019","209","3"
"709","LDK-AKR-ALT","2017-09-27","1365","1372","43","19","11"
"710","PDK-AAK-NISMA","2017-09-27","1901","1909","9","32","13"
"711","VV","2017-09-27","3230","3626","773","188","4"
"712","LDK-AKR-ALT","2017-09-26","2031","2083","246","108","11"
"713","PDK-AAK-NISMA","2017-09-26","3141","3149","37","51","10"
"714","VV","2017-09-26","3114","3457","518","136","4"
"715","LDK-AKR-ALT","2017-09-25","0","0","0","0","0"
"716","PDK-AAK-NISMA","2017-09-25","0","0","0","0","0"
"717","VV","2017-09-25","0","0","0","0","0"
"718","LDK-AKR-ALT","2017-09-24","641","663","100","57","4"
"719","PDK-AAK-NISMA","2017-09-24","3700","3736","96","238","10"
"720","VV","2017-09-24","5958","6677","1647","421","5"
"721","LDK-AKR-ALT","2017-09-23","2301","2315","44","163","15"
"722","PDK-AAK-NISMA","2017-09-23","4161","4236","283","143","8"
"723","VV","2017-09-23","3991","4385","1033","136","4"
"724","LDK-AKR-ALT","2017-09-22","2536","2555","71","100","13"
"725","PDK-AAK-NISMA","2017-09-22","1428","1454","61","45","6"
"726","VV","2017-09-22","8685","9494","1674","322","8"
"727","LDK-AKR-ALT","2017-09-21","2836","2905","338","52","19"
"728","PDK-AAK-NISMA","2017-09-21","2168","2178","46","107","13"
"729","VV","2017-09-21","14366","15978","3151","862","11"
"730","LDK-AKR-ALT","2017-09-20","767","773","18","74","5"
"731","PDK-AAK-NISMA","2017-09-20","1085","1091","25","44","9"
"732","VV","2017-09-20","1340","1374","33","115","2"
"733","LDK-AKR-ALT","2017-09-19","896","899","17","4","9"
"734","PDK-AAK-NISMA","2017-09-19","191","191","3","13","2"
"735","VV","2017-09-19","386","390","8","18","1"
"736","PDK-AAK-NISMA","2017-09-18","0","0","0","0","0"
"737","LDK-AKR-ALT","2017-09-18","0","0","0","0","0"
"738","VV","2017-09-18","0","0","0","0","0"
"739","LDK-AKR-ALT","2017-10-19","3173","3325","964","215","13"
"740","PDK-AAK-NISMA","2017-10-19","3161","3197","121","114","10"
"741","VV","2017-10-19","7523","8678","3323","501","9"
"742","LDK-AKR-ALT","2017-10-23","148","148","0","1","1"
"743","PDK-AAK-NISMA","2017-10-23","155","156","2","0","2"
"744","VV","2017-10-23","910","922","21","6","1"
"745","LDK-AKR-ALT","2017-10-22","1263","1271","34","9","4"
"746","PDK-AAK-NISMA","2017-10-22","1794","1804","38","27","15"
"747","VV","2017-10-22","7456","9266","3457","215","5"
"748","PDK-AAK-NISMA","2017-10-21","0","0","0","0","0"
"749","LDK-AKR-ALT","2017-10-21","0","0","0","0","0"
"750","VV","2017-10-21","0","0","0","0","0"
"751","LDK-AKR-ALT","2017-10-20","3917","4169","1566","352","26"
