"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"130664660988134","2017-10-22","0","0","0","0","0","SL","Mitrovica Veriore"
"besimhotikline","2017-10-22","0","0","0","0","0","LDK","KlinÃ«"
"BashotaSokol","2017-10-22","0","0","0","0","0","PDK","KlinÃ«"
"1471112073125298","2017-10-22","0","0","0","0","0","AKR","Skenderaj"
"CaushiDriton","2017-10-22","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"pdkdegaviti","2017-10-22","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-22","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"ramizlladrovci","2017-10-22","0","0","0","0","0","PDK","Drenas"
"KryetarFehmiFerati","2017-10-22","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-22","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-22","0","0","0","0","0","PDK","Obiliq"
"222542211233814","2017-10-22","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-22","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-22","0","0","0","0","0","AAK","KlinÃ«"
"310775596061589","2017-10-22","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ardiangjiniaak","2017-10-22","0","0","0","0","0","AAK","Gjakova"
"AgimAliuPDK94","2017-10-22","0","0","0","0","0","PDK","Ferizaj"
"RamadanHotii","2017-10-22","0","0","0","0","0","PDK","Gjakova"
"KTAP.KOSOVA","2017-10-22","0","0","0","0","0","KTAP","Mamusha"
"HajrushKurtajOfficial","2017-10-22","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-22","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"ldkjunikfaqjazyrtare","2017-10-22","0","0","0","0","0","LDK","Junik"
"muharremsvarqazyrtare","2017-10-22","0","0","0","0","0","LDK","Ferizaj"
"910656602314125","2017-10-22","0","0","0","0","0","LDK","Sharr"
"1891305244219623","2017-10-21","221","221","8","4","1","AAK","DeÃ§an"
"1914605832085405","2017-10-21","164","169","3","29","4","SL","Partesh"
"491857897815166","2017-10-21","414","416","13","43","2","PDK","PodujevÃ«"
"Agim.Bahtirii","2017-10-21","1189","1225","137","57","3","AKR","Mitrovica"
"AgimVeliu","2017-10-21","483","487","25","91","1","LDK","PodujevÃ«"
"fatmirgashipeje","2017-10-21","841","859","41","66","1","AAK","Peja"
"gradonacelnikjablanovic","2017-10-21","26","26","0","5","2","PKS","Leposaviq"
"imri.ahmeti","2017-10-21","3156","3161","125","15","3","LDK","Lipjan"
"IsmetHajrullahuPDK","2017-10-21","311","311","3","1","2","PDK","Lipjan"
"oliverivanovickos","2017-10-21","31","31","0","2","1","IQ","Mitrovica Veriore"
"pdkmalisheva","2017-10-21","53","53","0","3","1","PDK","MalishevÃ«"
"pdknaimismajli","2017-10-21","90","90","0","0","1","PDK","Shtime"
"selimpacolliofficial","2017-10-21","2407","2445","57","98","1","AKR","Prishtina"
"ShkelqimMJakupi","2017-10-21","122","122","2","3","1","LDK","KaÃ§anik"
"101664896548627","2017-10-21","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-21","0","0","0","0","0","AAK","Prizren"
"vllahiuarber","2017-10-21","0","0","0","0","0","AAK","Prishtina"
"aaksuharekeofficial","2017-10-21","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"mal.lokaj1","2017-10-21","0","0","0","0","0","LDK","DeÃ§an"
"shaqirtotaj","2017-10-21","0","0","0","0","0","PDK","Prizren"
"130664660988134","2017-10-21","0","0","0","0","0","SL","Mitrovica Veriore"
"besimhotikline","2017-10-21","0","0","0","0","0","LDK","KlinÃ«"
"BlerandKadrijajofficial","2017-10-21","0","0","0","0","0","PDK","DeÃ§an"
"validrizi","2017-10-21","0","0","0","0","0","PDK","Mitrovica"
"BlerimiperSuhareke","2017-10-21","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-21","0","0","0","0","0","PDK","KlinÃ«"
"LvvKacanik","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-21","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-21","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-21","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-21","0","0","0","0","0","ALT","Gjakova"
"1555763194717660","2017-10-21","0","0","0","0","0","AAK","Istog"
"CaushiDriton","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"sabihashalaofficial","2017-10-21","0","0","0","0","0","PDK","Peja"
"pdkdegaviti","2017-10-21","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"ramizlladrovci","2017-10-21","0","0","0","0","0","PDK","Drenas"
"SamiKurteshi13","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-21","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-21","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-21","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-21","0","0","0","0","0","KP","Shtime"
"AjetPotera2017","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BekimHamezJashari","2017-10-21","0","0","0","0","0","KP","Skenderaj"
"xhafertahiriofficial","2017-10-21","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-21","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-21","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-21","0","0","0","0","0","AAK","KlinÃ«"
"mhaskukaa","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"BurimBerishaOfficial","2017-10-21","0","0","0","0","0","LDK","FushÃ« KosovÃ«"
"Dr.IdrizVehapi","2017-10-21","0","0","0","0","0","PDK","Rahovec"
"xhemajlajisa","2017-10-21","0","0","0","0","0","NISMA","Drenas"
"310775596061589","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ardiangjiniaak","2017-10-21","0","0","0","0","0","AAK","Gjakova"
"selimshabanldk47","2017-10-21","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"hazirilutfi","2017-10-21","0","0","0","0","0","LDK","Gjilan"
"Agron.Avdijaj10","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-21","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-21","0","0","0","0","0","AAK","Gjilan"
"safetkamberipermitrovicen","2017-10-21","0","0","0","0","0","LDK","Mitrovica"
"SelatinRetkoceriVV","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"gazmuhaxheri","2017-10-21","0","0","0","0","0","LDK","Peja"
"RamadanHotii","2017-10-21","0","0","0","0","0","PDK","Gjakova"
"SmajlLatifi50","2017-10-21","0","0","0","0","0","AAK","Rahovec"
"ProfDrBeqirSadikaj","2017-10-21","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-21","0","0","0","0","0","KTAP","Mamusha"
"BesimIlaziPDK","2017-10-21","0","0","0","0","0","PDK","KaÃ§anik"
"XhaferGashiPerObiliq","2017-10-21","0","0","0","0","0","AAK","Obiliq"
"505468136208097","2017-10-21","0","0","0","0","0","LDK","Istog"
"sokolihaliti.official","2017-10-21","0","0","0","0","0","LDK","Viti"
"DrHatimBaxhaku","2017-10-21","0","0","0","0","0","LDK","Prizren"
"QendronKastrati10","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-21","0","0","0","0","0","NISMA","MalishevÃ«"
"ShpendAhmetii","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"HajrushKurtajOfficial","2017-10-21","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-21","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"ldkjunikfaqjazyrtare","2017-10-21","0","0","0","0","0","LDK","Junik"
"bnurboja","2017-10-21","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"ZenunPajazitiOfficial","2017-10-21","0","0","0","0","0","PDK","Gjilan"
"abrashiarban","2017-10-21","0","0","0","0","0","LDK","Prishtina"
"muharremsvarqazyrtare","2017-10-21","0","0","0","0","0","LDK","Ferizaj"
"910656602314125","2017-10-21","0","0","0","0","0","LDK","Sharr"
"101664896548627","2017-10-20","426","426","19","22","1","LDK","Obiliq"
"1555763194717660","2017-10-20","1124","1131","95","55","1","AAK","Istog"
"1891305244219623","2017-10-20","2504","2514","58","62","8","AAK","DeÃ§an"
"1934481086825941","2017-10-20","93","95","1","5","1","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"1940058396319659","2017-10-20","66","66","7","5","1","PDK","Obiliq"
"310775596061589","2017-10-20","282","284","3","17","5","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"491857897815166","2017-10-20","453","453","7","37","2","PDK","PodujevÃ«"
"505468136208097","2017-10-20","1853","1859","46","74","6","LDK","Istog"
"533546846720711","2017-10-20","230","230","2","20","1","NISMA","MalishevÃ«"
"548957518774900","2017-10-20","107","107","3","3","3","PDK","FushÃ« KosovÃ«"
"910656602314125","2017-10-20","106","106","1","0","1","LDK","Sharr"
"aaksuharekeofficial","2017-10-20","428","430","1","12","3","AAK","SuharekÃ«"
"abrashiarban","2017-10-20","7864","7915","171","144","10","LDK","Prishtina"
"Agim.Bahtirii","2017-10-20","1646","1669","81","60","4","AKR","Mitrovica"
"AgimAliuPDK94","2017-10-20","5754","5793","149","312","5","PDK","Ferizaj"
"AgimVeliu","2017-10-20","1319","1328","38","78","3","LDK","PodujevÃ«"
"Agron.Avdijaj10","2017-10-20","72","73","0","2","1","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AjetPotera2017","2017-10-20","954","975","61","18","3","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"ardiangjiniaak","2017-10-20","544","548","4","11","2","AAK","Gjakova"
"asllanajsali","2017-10-20","136","136","1","4","1","LDK","SuharekÃ«"
"BashotaSokol","2017-10-20","300","300","5","4","2","PDK","KlinÃ«"
"BekimHamezJashari","2017-10-20","2331","2335","59","86","3","KP","Skenderaj"
"besimhotikline","2017-10-20","310","310","5","1","3","LDK","KlinÃ«"
"BesimIlaziPDK","2017-10-20","956","970","161","20","2","PDK","KaÃ§anik"
"BlerandKadrijajofficial","2017-10-20","79","79","5","14","2","PDK","DeÃ§an"
"BlerimiperSuhareke","2017-10-20","636","637","10","46","7","PDK","SuharekÃ«"
"bnurboja","2017-10-20","177","186","3","10","3","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"BurimBerishaOfficial","2017-10-20","1117","1164","183","62","2","LDK","FushÃ« KosovÃ«"
"CaushiDriton","2017-10-20","487","511","17","9","2","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"Dr.IdrizVehapi","2017-10-20","407","410","5","8","3","PDK","Rahovec"
"DrHatimBaxhaku","2017-10-20","2590","2603","27","39","8","LDK","Prizren"
"fatmirgashipeje","2017-10-20","1243","1256","31","26","6","AAK","Peja"
"FatmirRashitiVoto54","2017-10-20","976","983","49","87","2","KP","Shtime"
"FatonTopalli2017","2017-10-20","1443","1461","43","80","7","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"feritidrizii","2017-10-20","151","151","1","2","2","PDK","Vushtrri"
"gazmuhaxheri","2017-10-20","1616","1622","15","19","5","LDK","Peja"
"gradonacelnikjablanovic","2017-10-20","12","12","0","1","1","PKS","Leposaviq"
"HajrushKurtajOfficial","2017-10-20","54","54","0","0","1","AAK","KaÃ§anik"
"hazirilutfi","2017-10-20","4839","4879","183","397","6","LDK","Gjilan"
"imri.ahmeti","2017-10-20","2958","2973","86","226","5","LDK","Lipjan"
"IsmetHajrullahuPDK","2017-10-20","949","951","9","22","4","PDK","Lipjan"
"KryetarFehmiFerati","2017-10-20","145","149","1","6","1","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"KTAP.KOSOVA","2017-10-20","38","38","2","23","3","KTAP","Mamusha"
"ldkjunikfaqjazyrtare","2017-10-20","120","120","1","2","2","LDK","Junik"
"LirakCelaj.ks","2017-10-20","1183","1186","48","23","3","PDK","Prishtina"
"lulzimkabashi.ak","2017-10-20","231","237","2","29","1","AAK","Prizren"
"LvvKacanik","2017-10-20","1431","1435","45","29","34","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LVVKline","2017-10-20","55","55","1","2","2","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"mal.lokaj1","2017-10-20","209","210","4","31","3","LDK","DeÃ§an"
"mhaskukaa","2017-10-20","1522","1609","39","42","7","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"mimozakusari","2017-10-20","2719","2911","276","99","7","ALT","Gjakova"
"muharremsvarqazyrtare","2017-10-20","3041","3046","63","143","15","LDK","Ferizaj"
"oliverivanovickos","2017-10-20","123","124","6","11","3","IQ","Mitrovica Veriore"
"pdkdegaviti","2017-10-20","382","382","6","12","6","PDK","Viti"
"pdkmalisheva","2017-10-20","406","407","6","11","3","PDK","MalishevÃ«"
"pdknaimismajli","2017-10-20","506","507","3","1","4","PDK","Shtime"
"ProfDrBeqirSadikaj","2017-10-20","1823","1832","61","52","2","PDK","Istog"
"QendronKastrati10","2017-10-20","1049","1097","17","10","2","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"RamadanHotii","2017-10-20","1071","1077","27","19","5","PDK","Gjakova"
"ramizlladrovci","2017-10-20","1620","1622","8","10","5","PDK","Drenas"
"RexhepKadriu.rks","2017-10-20","2674","2686","122","72","5","AAK","Gjilan"
"sabihashalaofficial","2017-10-20","2945","2970","129","121","8","PDK","Peja"
"safetkamberipermitrovicen","2017-10-20","1212","1215","7","44","6","LDK","Mitrovica"
"SamiKurteshi13","2017-10-20","229","236","8","4","1","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"SelatinRetkoceriVV","2017-10-20","219","219","14","23","5","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"selimpacolliofficial","2017-10-20","8059","8218","756","412","8","AKR","Prishtina"
"selimshabanldk47","2017-10-20","586","586","5","25","3","LDK","Shtime"
"shaqirtotaj","2017-10-20","4021","4078","174","151","5","PDK","Prizren"
"ShkelqimMJakupi","2017-10-20","281","281","6","10","4","LDK","KaÃ§anik"
"ShpendAhmetii","2017-10-20","7764","8117","327","341","7","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"SmajlLatifi50","2017-10-20","105","105","1","52","2","AAK","Rahovec"
"sokolihaliti.official","2017-10-20","2881","2893","118","76","9","LDK","Viti"
"validrizi","2017-10-20","3170","3216","91","78","7","PDK","Mitrovica"
"vetevendosjekastriot","2017-10-20","45","46","2","4","2","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"vllahiuarber","2017-10-20","1324","1345","99","17","4","AAK","Prishtina"
"voto47","2017-10-20","774","780","3","39","4","LDK","Rahovec"
"VVMalisheva","2017-10-20","190","200","16","16","10","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"xhafertahiriofficial","2017-10-20","935","985","210","107","4","LDK","Vushtrri"
"XhavitZariqiOfficial","2017-10-20","117","117","0","2","2","AAK","Ferizaj"
"xhemajlajisa","2017-10-20","195","195","7","3","10","NISMA","Drenas"
"zekesinanajdecan","2017-10-20","288","296","3","28","3","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"ZenunPajazitiOfficial","2017-10-20","1687","1689","35","25","5","PDK","Gjilan"
"salihsalihu19","2017-10-20","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"130664660988134","2017-10-20","0","0","0","0","0","SL","Mitrovica Veriore"
"1471112073125298","2017-10-20","0","0","0","0","0","AKR","Skenderaj"
"1914605832085405","2017-10-20","0","0","0","0","0","SL","Partesh"
"222542211233814","2017-10-20","0","0","0","0","0","AAK","Junik"
"Zenunelezaj1963","2017-10-20","0","0","0","0","0","AAK","KlinÃ«"
"XhaferGashiPerObiliq","2017-10-20","0","0","0","0","0","AAK","Obiliq"
"101664896548627","2017-10-19","68","68","1","4","2","LDK","Obiliq"
"130664660988134","2017-10-19","0","0","0","0","3","SL","Mitrovica Veriore"
"1471112073125298","2017-10-19","140","140","0","4","3","AKR","Skenderaj"
"1555763194717660","2017-10-19","1243","1249","58","53","3","AAK","Istog"
"1891305244219623","2017-10-19","936","938","23","33","6","AAK","DeÃ§an"
"1914605832085405","2017-10-19","44","44","0","8","1","SL","Partesh"
"1934481086825941","2017-10-19","511","524","10","19","3","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"1940058396319659","2017-10-19","67","67","0","1","2","PDK","Obiliq"
"310775596061589","2017-10-19","108","108","1","6","2","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"491857897815166","2017-10-19","1117","1120","12","55","4","PDK","PodujevÃ«"
"505468136208097","2017-10-19","931","931","38","23","6","LDK","Istog"
"548957518774900","2017-10-19","87","87","1","5","1","PDK","FushÃ« KosovÃ«"
"910656602314125","2017-10-19","265","265","3","7","1","LDK","Sharr"
"abrashiarban","2017-10-19","3652","3673","80","110","6","LDK","Prishtina"
"Agim.Bahtirii","2017-10-19","767","774","28","42","1","AKR","Mitrovica"
"AgimAliuPDK94","2017-10-19","3439","3454","34","88","4","PDK","Ferizaj"
"AgimVeliu","2017-10-19","6257","6299","205","305","13","LDK","PodujevÃ«"
"Agron.Avdijaj10","2017-10-19","298","300","6","51","3","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AjetPotera2017","2017-10-19","1008","1018","50","37","3","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"ardiangjiniaak","2017-10-19","487","487","2","28","2","AAK","Gjakova"
"BashotaSokol","2017-10-19","333","335","9","6","2","PDK","KlinÃ«"
"BekimHamezJashari","2017-10-19","1473","1479","8","27","3","KP","Skenderaj"
"besimhotikline","2017-10-19","177","177","1","0","3","LDK","KlinÃ«"
"BesimIlaziPDK","2017-10-19","145","145","2","5","1","PDK","KaÃ§anik"
"BlerandKadrijajofficial","2017-10-19","452","455","12","21","3","PDK","DeÃ§an"
"BlerimiperSuhareke","2017-10-19","560","561","3","20","5","PDK","SuharekÃ«"
"bnurboja","2017-10-19","91","94","0","8","2","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"BurimBerishaOfficial","2017-10-19","1326","1343","96","62","8","LDK","FushÃ« KosovÃ«"
"CaushiDriton","2017-10-19","1318","1383","25","28","4","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"Dr.IdrizVehapi","2017-10-19","418","421","8","5","3","PDK","Rahovec"
"DrHatimBaxhaku","2017-10-19","2487","2496","40","94","7","LDK","Prizren"
"fatmirgashipeje","2017-10-19","1149","1149","37","13","7","AAK","Peja"
"FatmirRashitiVoto54","2017-10-19","343","346","0","8","3","KP","Shtime"
"FatonTopalli2017","2017-10-19","933","971","51","42","3","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"feritidrizii","2017-10-19","827","833","32","17","1","PDK","Vushtrri"
"gazmuhaxheri","2017-10-19","598","599","13","17","4","LDK","Peja"
"gradonacelnikjablanovic","2017-10-19","17","17","0","15","1","PKS","Leposaviq"
"HajrushKurtajOfficial","2017-10-19","178","179","6","7","4","AAK","KaÃ§anik"
"hazirilutfi","2017-10-19","2770","2782","107","85","5","LDK","Gjilan"
"imri.ahmeti","2017-10-19","1192","1196","15","88","3","LDK","Lipjan"
"IsmetHajrullahuPDK","2017-10-19","822","829","14","25","4","PDK","Lipjan"
"KryetarFehmiFerati","2017-10-19","235","242","5","14","2","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"KTAP.KOSOVA","2017-10-19","35","35","1","62","2","KTAP","Mamusha"
"LirakCelaj.ks","2017-10-19","240","246","18","34","1","PDK","Prishtina"
"LvvKacanik","2017-10-19","428","430","5","14","25","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LVVKline","2017-10-19","69","70","2","6","4","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"mal.lokaj1","2017-10-19","295","295","2","39","2","LDK","DeÃ§an"
"mhaskukaa","2017-10-19","1620","1719","52","65","3","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"mimozakusari","2017-10-19","1800","1818","25","25","5","ALT","Gjakova"
"muharremsvarqazyrtare","2017-10-19","1372","1378","12","33","9","LDK","Ferizaj"
"oliverivanovickos","2017-10-19","38","38","1","2","1","IQ","Mitrovica Veriore"
"pdkdegaviti","2017-10-19","160","160","4","4","3","PDK","Viti"
"pdknaimismajli","2017-10-19","1240","1251","58","42","5","PDK","Shtime"
"QendronKastrati10","2017-10-19","1970","2031","20","24","6","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"RamadanHotii","2017-10-19","1013","1017","16","27","5","PDK","Gjakova"
"ramizlladrovci","2017-10-19","968","968","16","20","4","PDK","Drenas"
"RexhepKadriu.rks","2017-10-19","1247","1249","39","14","10","AAK","Gjilan"
"sabihashalaofficial","2017-10-19","2188","2205","23","77","8","PDK","Peja"
"safetkamberipermitrovicen","2017-10-19","415","417","3","12","2","LDK","Mitrovica"
"SamiKurteshi13","2017-10-19","453","471","9","4","3","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"SelatinRetkoceriVV","2017-10-19","98","98","9","2","5","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"selimpacolliofficial","2017-10-19","4983","5028","101","64","2","AKR","Prishtina"
"selimshabanldk47","2017-10-19","525","526","10","35","3","LDK","Shtime"
"shaqirtotaj","2017-10-19","1179","1191","104","45","5","PDK","Prizren"
"ShkelqimMJakupi","2017-10-19","524","524","8","9","4","LDK","KaÃ§anik"
"ShpendAhmetii","2017-10-19","6871","7080","180","152","6","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"SmajlLatifi50","2017-10-19","252","252","1","21","3","AAK","Rahovec"
"sokolihaliti.official","2017-10-19","1302","1304","39","29","6","LDK","Viti"
"validrizi","2017-10-19","4008","4027","56","59","14","PDK","Mitrovica"
"vetevendosjekastriot","2017-10-19","103","103","3","17","3","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"vllahiuarber","2017-10-19","316","317","4","12","3","AAK","Prishtina"
"voto47","2017-10-19","1045","1054","10","95","8","LDK","Rahovec"
"VVMalisheva","2017-10-19","214","221","7","17","7","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"XhaferGashiPerObiliq","2017-10-19","372","372","6","19","1","AAK","Obiliq"
"xhafertahiriofficial","2017-10-19","2031","2033","56","92","5","LDK","Vushtrri"
"XhavitZariqiOfficial","2017-10-19","121","121","0","3","1","AAK","Ferizaj"
"xhemajlajisa","2017-10-19","286","286","9","7","13","NISMA","Drenas"
"ZenunPajazitiOfficial","2017-10-19","663","663","7","25","3","PDK","Gjilan"
"lulzimkabashi.ak","2017-10-19","0","0","0","0","0","AAK","Prizren"
"aaksuharekeofficial","2017-10-19","0","0","0","0","0","AAK","SuharekÃ«"
"salihsalihu19","2017-10-19","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"zekesinanajdecan","2017-10-19","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"222542211233814","2017-10-19","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-19","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-19","0","0","0","0","0","AAK","KlinÃ«"
"pdkmalisheva","2017-10-19","0","0","0","0","0","PDK","MalishevÃ«"
"ProfDrBeqirSadikaj","2017-10-19","0","0","0","0","0","PDK","Istog"
"533546846720711","2017-10-19","0","0","0","0","0","NISMA","MalishevÃ«"
"ldkjunikfaqjazyrtare","2017-10-19","0","0","0","0","0","LDK","Junik"
"1471112073125298","2017-10-18","126","126","11","4","1","AKR","Skenderaj"
"1555763194717660","2017-10-18","887","891","21","26","2","AAK","Istog"
"1891305244219623","2017-10-18","930","935","10","17","4","AAK","DeÃ§an"
"1934481086825941","2017-10-18","345","349","6","20","3","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"1940058396319659","2017-10-18","140","140","1","2","3","PDK","Obiliq"
"310775596061589","2017-10-18","226","230","2","18","4","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"491857897815166","2017-10-18","540","540","2","23","2","PDK","PodujevÃ«"
"505468136208097","2017-10-18","792","793","24","20","4","LDK","Istog"
"533546846720711","2017-10-18","111","112","2","0","1","NISMA","MalishevÃ«"
"548957518774900","2017-10-18","487","491","12","14","2","PDK","FushÃ« KosovÃ«"
"abrashiarban","2017-10-18","6568","6667","397","210","10","LDK","Prishtina"
"Agim.Bahtirii","2017-10-18","1008","1021","61","42","2","AKR","Mitrovica"
"AgimAliuPDK94","2017-10-18","6113","6211","379","255","4","PDK","Ferizaj"
"AgimVeliu","2017-10-18","3676","3813","775","280","2","LDK","PodujevÃ«"
"Agron.Avdijaj10","2017-10-18","98","98","1","35","2","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AjetPotera2017","2017-10-18","1182","1211","43","43","2","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"ardiangjiniaak","2017-10-18","1535","1545","22","65","6","AAK","Gjakova"
"asllanajsali","2017-10-18","42","42","0","1","1","LDK","SuharekÃ«"
"BashotaSokol","2017-10-18","144","144","0","0","1","PDK","KlinÃ«"
"BekimHamezJashari","2017-10-18","1148","1149","26","25","3","KP","Skenderaj"
"BesimIlaziPDK","2017-10-18","221","221","0","7","3","PDK","KaÃ§anik"
"BlerandKadrijajofficial","2017-10-18","135","138","0","5","1","PDK","DeÃ§an"
"BlerimiperSuhareke","2017-10-18","292","293","2","18","4","PDK","SuharekÃ«"
"bnurboja","2017-10-18","110","111","6","13","2","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"CaushiDriton","2017-10-18","1987","2081","146","35","5","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"Dr.IdrizVehapi","2017-10-18","327","330","0","7","3","PDK","Rahovec"
"DrHatimBaxhaku","2017-10-18","1823","1830","9","42","10","LDK","Prizren"
