"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"AgimVeliu","2017-10-25","0","0","0","0","0","LDK","PodujevÃ«"
"1555763194717660","2017-10-24","397","399","39","9","1","AAK","Istog"
"1940058396319659","2017-10-24","66","66","3","1","1","PDK","Obiliq"
"Agim.Bahtirii","2017-10-24","701","710","62","22","1","AKR","Mitrovica"
"AjetPotera2017","2017-10-24","1055","1082","54","74","2","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"ardiangjiniaak","2017-10-24","332","335","25","7","2","AAK","Gjakova"
"asllanajsali","2017-10-24","72","72","0","1","1","LDK","SuharekÃ«"
"BekimHamezJashari","2017-10-24","756","758","18","14","1","KP","Skenderaj"
"bnurboja","2017-10-24","54","56","0","0","1","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"HajrushKurtajOfficial","2017-10-24","72","72","8","2","1","AAK","KaÃ§anik"
"hazirilutfi","2017-10-24","1192","1201","40","18","1","LDK","Gjilan"
"pdkdegaviti","2017-10-24","45","45","2","0","1","PDK","Viti"
"pdkmalisheva","2017-10-24","55","55","1","0","1","PDK","MalishevÃ«"
"ramizlladrovci","2017-10-24","280","280","1","0","1","PDK","Drenas"
"selimpacolliofficial","2017-10-24","1042","1057","32","19","1","AKR","Prishtina"
"shaqirtotaj","2017-10-24","1419","1421","17","8","3","PDK","Prizren"
"ShpendAhmetii","2017-10-24","1527","1615","97","32","1","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"sokolihaliti.official","2017-10-24","232","234","4","0","1","LDK","Viti"
"validrizi","2017-10-24","577","585","28","33","1","PDK","Mitrovica"
"vllahiuarber","2017-10-24","279","285","9","12","1","AAK","Prishtina"
"XhaferGashiPerObiliq","2017-10-24","198","198","3","6","1","AAK","Obiliq"
"Zenunelezaj1963","2017-10-24","529","532","41","20","1","AAK","KlinÃ«"
"101664896548627","2017-10-24","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-24","0","0","0","0","0","AAK","Prizren"
"aaksuharekeofficial","2017-10-24","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"mal.lokaj1","2017-10-24","0","0","0","0","0","LDK","DeÃ§an"
"130664660988134","2017-10-24","0","0","0","0","0","SL","DeÃ§an"
"besimhotikline","2017-10-24","0","0","0","0","0","LDK","KlinÃ«"
"BlerandKadrijajofficial","2017-10-24","0","0","0","0","0","PDK","DeÃ§an"
"BlerimiperSuhareke","2017-10-24","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-24","0","0","0","0","0","PDK","KlinÃ«"
"fatmirgashipeje","2017-10-24","0","0","0","0","0","AAK","Peja"
"LvvKacanik","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-24","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-24","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-24","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-24","0","0","0","0","0","ALT","Gjakova"
"CaushiDriton","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"imri.ahmeti","2017-10-24","0","0","0","0","0","LDK","Lipjan"
"sabihashalaofficial","2017-10-24","0","0","0","0","0","PDK","Peja"
"FatonTopalli2017","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"1891305244219623","2017-10-24","0","0","0","0","0","AAK","DeÃ§an"
"oliverivanovickos","2017-10-24","0","0","0","0","0","IQ","Mitrovica Veriore"
"1914605832085405","2017-10-24","0","0","0","0","0","SL","Partesh"
"SamiKurteshi13","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-24","0","0","0","0","0","PDK","Vushtrri"
"voto47","2017-10-24","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-24","0","0","0","0","0","KP","Shtime"
"gradonacelnikjablanovic","2017-10-24","0","0","0","0","0","PKS","Leposaviq"
"xhafertahiriofficial","2017-10-24","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-24","0","0","0","0","0","AAK","Junik"
"mhaskukaa","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"BurimBerishaOfficial","2017-10-24","0","0","0","0","0","LDK","FushÃ« KosovÃ«"
"Dr.IdrizVehapi","2017-10-24","0","0","0","0","0","PDK","Rahovec"
"xhemajlajisa","2017-10-24","0","0","0","0","0","NISMA","Drenas"
"310775596061589","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ShkelqimMJakupi","2017-10-24","0","0","0","0","0","LDK","KaÃ§anik"
"selimshabanldk47","2017-10-24","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"Agron.Avdijaj10","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-24","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-24","0","0","0","0","0","AAK","Gjilan"
"safetkamberipermitrovicen","2017-10-24","0","0","0","0","0","LDK","Mitrovica"
"SelatinRetkoceriVV","2017-10-24","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"gazmuhaxheri","2017-10-24","0","0","0","0","0","LDK","Peja"
"RamadanHotii","2017-10-24","0","0","0","0","0","PDK","Gjakova"
"SmajlLatifi50","2017-10-24","0","0","0","0","0","AAK","Rahovec"
"ProfDrBeqirSadikaj","2017-10-24","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-24","0","0","0","0","0","KTAP","Mamusha"
"BesimIlaziPDK","2017-10-24","0","0","0","0","0","PDK","KaÃ§anik"
"491857897815166","2017-10-24","0","0","0","0","0","PDK","PodujevÃ«"
"505468136208097","2017-10-24","0","0","0","0","0","LDK","Istog"
"DrHatimBaxhaku","2017-10-24","0","0","0","0","0","LDK","Prizren"
