"dkid","EmriKandidatit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"750","albini2017","2017-10-21","0","0","0","0","0"
"751","albini2017","2017-10-20","6096","6473","237","422","6"
"752","avdullah.hoti","2017-10-20","5005","5040","73","85","13"
"753","RamushHaradinajOfficial","2017-10-20","1265","1271","13","6","2"
"835","albini2017","2017-10-25","1108","1145","52","115","1"
"836","avdullah.hoti","2017-10-25","509","510","1","4","2"
"837","RamushHaradinajOfficial","2017-10-25","1961","1974","14","28","2"
"838","avdullah.hoti","2017-10-24","1435","1437","21","1","2"
"839","RamushHaradinajOfficial","2017-10-24","1152","1164","19","19","1"
"840","albini2017","2017-10-24","0","0","0","0","0"
"1021","avdullah.hoti","2017-10-31","1592","1598","38","30","5"
"1022","RamushHaradinajOfficial","2017-10-31","928","939","25","33","1"
"1023","albini2017","2017-10-31","0","0","0","0","0"
"1024","avdullah.hoti","2017-10-30","144","144","2","0","1"
"1025","RamushHaradinajOfficial","2017-10-30","3761","3790","56","42","3"
"1026","albini2017","2017-10-30","0","0","0","0","0"
"1027","RamushHaradinajOfficial","2017-10-29","0","0","0","0","0"
"1028","albini2017","2017-10-29","0","0","0","0","0"
"1029","avdullah.hoti","2017-10-29","0","0","0","0","0"
"1030","avdullah.hoti","2017-10-28","3425","3437","88","15","4"
"1031","RamushHaradinajOfficial","2017-10-28","805","817","14","15","1"
"1032","albini2017","2017-10-28","0","0","0","0","0"
"1033","avdullah.hoti","2017-10-27","92","93","2","0","1"
"1034","RamushHaradinajOfficial","2017-10-27","0","0","0","0","0"
"1035","albini2017","2017-10-27","0","0","0","0","0"
"1036","avdullah.hoti","2017-10-26","1381","1387","10","26","6"
"1037","RamushHaradinajOfficial","2017-10-26","1173","1180","23","17","2"
"1038","albini2017","2017-10-26","0","0","0","0","0"
"1207","albini2017","2017-11-05","1368","1463","30","179","2"
"1208","avdullah.hoti","2017-11-05","1484","1501","68","48","4"
"1209","RamushHaradinajOfficial","2017-11-05","2131","2156","60","66","1"
"1210","avdullah.hoti","2017-11-04","1864","1867","15","7","5"
"1211","RamushHaradinajOfficial","2017-11-04","6476","6548","257","112","1"
"1212","albini2017","2017-11-04","0","0","0","0","0"
"1213","avdullah.hoti","2017-11-03","814","814","8","5","4"
"1214","RamushHaradinajOfficial","2017-11-03","0","0","0","0","0"
"1215","albini2017","2017-11-03","0","0","0","0","0"
"1216","avdullah.hoti","2017-11-02","132","134","0","2","1"
"1217","RamushHaradinajOfficial","2017-11-02","1024","1030","23","20","2"
"1218","albini2017","2017-11-02","0","0","0","0","0"
"1219","avdullah.hoti","2017-11-01","1050","1057","24","8","4"
"1220","RamushHaradinajOfficial","2017-11-01","3033","3079","38","43","3"
"1221","albini2017","2017-11-01","0","0","0","0","0"
